query,original_answer
"Save binary data get from url into Django FileField: <p>Is there any ways to save a binary data get from an external url (in my case, an excel file) into a Django FileField, with the file uploaded to the destination according to the django project settings?</p>

<pre><code>class FileData(models.Model):
    excel_file = models.FileField(upload_to='excel_file_path')


import requests
url = 'https://www.example.getfile.com/file_id=234'
r = requests.get(url)
# How to store the binary data response to FileField?
</code></pre>

<p>Thanks for help. Please also let me know if further information is needed in my case.</p>","<p>You can make use of <a href=""https://docs.djangoproject.com/en/1.8/ref/forms/api/#binding-uploaded-files-to-a-form"" rel=""nofollow""><code>django.core.files.uploadedfile.SimpleUploadedFile</code></a> to save your content as a file field of your model instance.</p>

<pre><code>&gt;&gt;&gt; import requests
&gt;&gt;&gt; from django.core.files.uploadedfile import SimpleUploadedFile

&gt;&gt;&gt; response = requests.get(""https://www.example.getfile.com/file_id=234"")

&gt;&gt;&gt; excel_file = SimpleUploadedFile(""excel.xls"", response.content, content_type=""application/vnd.ms-excel"")
&gt;&gt;&gt; file_data = FileData(excel_file=excel_file)
&gt;&gt;&gt; file_data.save()
</code></pre>"
"Problems using Scrapy to scrape craigslist.org: <p>I'm using the following set-up to scrape the prices from <code>http://puertorico.craigslist.org/search/sya</code></p>

<pre><code>def parse(self, response):
        items = Selector(response).xpath(""//p[@class='row']"")
        for items in items:
            item = StackItem()
            item['prices'] = items.xpath(""//a[@class='i']/span[@class='price']/text()"").extract()
            item['url'] = items.xpath(""//span[@class='href']/@href"").extract()


            yield item
</code></pre>

<p>My problem is that when I run the script, ALL of the prices are shown for each item.. How can I get only the price of the particular item with its url for each available item?</p>","<p>You can try using a realtive <code>xpath</code> expression based in the context of the previous one, traversing all nodes until the one you want. Also, use a different variable in the <code>for</code> loop, like:</p>

<pre><code>import scrapy
from craiglist.items import StackItem

class CraiglistSpider(scrapy.Spider):
    name = ""craiglist_spider""
    allowed_domains = [""puertorico.craigslist.org""]
    start_urls = (
        'http://puertorico.craigslist.org/search/sya',
    )

    def parse(self, response):
        items = response.selector.xpath(""//p[@class='row']"")
        for i in items:
            item = StackItem()
            item['prices'] = i.xpath(""./a/span[@class='price']/text()"").extract()
            item['url'] = i.xpath(""./span[@class='txt']/span[@class='pl']/a/@href"").extract()


            yield item
</code></pre>

<p>It yields:</p>

<pre><code>{'prices': [u'$130'], 'url': [u'/sys/5105448465.html']}
2015-07-05 23:58:22 [scrapy] DEBUG: Scraped from &lt;200 http://puertorico.craigslist.org/search/sya&gt;
{'prices': [u'$250'], 'url': [u'/sys/5096083890.html']}
2015-07-05 23:58:22 [scrapy] DEBUG: Scraped from &lt;200 http://puertorico.craigslist.org/search/sya&gt;
{'prices': [u'$100'], 'url': [u'/sys/5069848699.html']}
2015-07-05 23:58:22 [scrapy] DEBUG: Scraped from &lt;200 http://puertorico.craigslist.org/search/sya&gt;
{'prices': [u'$35'], 'url': [u'/syd/5007870110.html']}
...
</code></pre>"
"Implement sub millisecond processing in python without busywait: <p>How would i implement processing of an array with millisecond precision using python under linux (running on a single core Raspberry Pi).</p>

<p>I am trying to parse information from a MIDI file, which has been preprocessed to an array where each millisecond i check if the array has entries at the current timestamp and trigger some functions if it does.</p>

<p>Currently i am using time.time() and employ busy waiting (as concluded <a href=""https://raspberrypi.stackexchange.com/questions/3898/nanosleep-wont-sleep-short-time"">here</a>). This eats up all the CPU, therefor i opt for a better solution.</p>

<pre><code># iterate through all milliseconds
for current_ms in xrange(0, last+1):
  start = time()

  # check if events are to be processed
  try:
    events = allEvents[current_ms]
    # iterate over all events for this millisecond
    for event in events:
      # check if event contains note information
      if 'note' in event:
        # check if mapping to pin exists
        if event['note'] in mapping:
          pin = mapping[event['note']]
          # check if event contains on/off information
          if 'mode' in event:
            if event['mode'] == 0:
              pin_off(pin)
            elif event['mode'] == 1:
              pin_on(pin)
            else:
              debug(""unknown mode in event:""+event)
          else:
            debug(""no mapping for note:"" + event['note'])
  except:
    pass

  end = time()

  # fill the rest of the millisecond
  while (end-start) &lt; (1.0/(1000.0)):
    end = time()
</code></pre>

<p>where <code>last</code> is the millisecond of the last event (known from preprocessing)</p>

<p>This is not a question about <a href=""https://stackoverflow.com/q/85451/875020"">time() vs clock()</a> more about <a href=""https://stackoverflow.com/q/1107593/875020"">sleep vs busy wait</a>.</p>

<p>I cant really sleep in the ""fill rest of millisecond"" loop, because of the <a href=""https://stackoverflow.com/questions/17499837/python-time-sleep-vs-busy-wait-accuracy"">too low</a> <a href=""https://stackoverflow.com/a/1133888/875020"">accuracy of sleep()</a>. If i were to use <a href=""https://stackoverflow.com/a/1212070/875020"">ctypes</a>, how would i go about it correctly?</p>

<p>Is there some Timer library which would call a callback each millisecond reliably?</p>

<p>My current implementation is on <a href=""https://github.com/x29a/ceremony/blob/15444d38f99732b7d3cb9d2b41a78b66718b9916/player/player.py#L114"" rel=""nofollow noreferrer"">GitHub</a>. With this approach i get a skew of around 4 or 5ms on the drum_sample, which is 3.7s total (with mock, so no real hardware attached). On a 30.7s sample, the skew is around 32ms (so its at least not linear!).</p>

<p>I have tried using <a href=""http://benjiyork.com/blog/2007/04/sleep-considered-harmful.html"" rel=""nofollow noreferrer"">time.sleep()</a> and <a href=""https://github.com/graycatlabs/PyBBIO/blob/master/tests/sleep_test.py"" rel=""nofollow noreferrer"">nanosleep() via ctypes</a> with the following code</p>

<pre><code>import time
import timeit
import ctypes
libc = ctypes.CDLL('libc.so.6')

class Timespec(ctypes.Structure):
  """""" timespec struct for nanosleep, see:
      http://linux.die.net/man/2/nanosleep """"""
  _fields_ = [('tv_sec', ctypes.c_long),
              ('tv_nsec', ctypes.c_long)]

libc.nanosleep.argtypes = [ctypes.POINTER(Timespec),
                           ctypes.POINTER(Timespec)]
nanosleep_req = Timespec()
nanosleep_rem = Timespec()

def nsleep(us):
  #print('nsleep: {0:.9f}'.format(us)) 
  """""" Delay microseconds with libc nanosleep() using ctypes. """"""
  if (us &gt;= 1000000):
    sec = us/1000000
    us %= 1000000
  else: sec = 0
  nanosleep_req.tv_sec = sec
  nanosleep_req.tv_nsec = int(us * 1000)

  libc.nanosleep(nanosleep_req, nanosleep_rem)

LOOPS = 10000

def do_sleep(min_sleep):
  #print('try: {0:.9f}'.format(min_sleep))
  total = 0.0
  for i in xrange(0, LOOPS):
    start = timeit.default_timer()
    nsleep(min_sleep*1000*1000)
    #time.sleep(min_sleep)
    end = timeit.default_timer()
    total += end - start
  return (total / LOOPS)

iterations = 5
iteration = 1
min_sleep = 0.001
result = None
while True:
    result = do_sleep(min_sleep)
    #print('res: {0:.9f}'.format(result))
    if result &gt; 1.5 * min_sleep:
      if iteration &gt; iterations:
        break
      else:
        min_sleep = result
        iteration += 1
    else:
      min_sleep /= 2.0

print('FIN: {0:.9f}'.format(result))
</code></pre>

<p>The result on my i5 is </p>

<blockquote>
  <p>FIN: 0.000165443</p>
</blockquote>

<p>while on the RPi it is</p>

<blockquote>
  <p>FIN: 0.000578617</p>
</blockquote>

<p>which suggest a sleep period of about 0.1 or 0.5 milliseconds, with the given jitter (tend to sleep longer) that at most helps me reduce the load a little bit.</p>","<p>One possible solution, using the <a href=""https://docs.python.org/2/library/sched.html"" rel=""nofollow"">sched</a> module:</p>

<pre><code>import sched
import time

def f(t0):
    print 'Time elapsed since t0:', time.time() - t0
s = sched.scheduler(time.time, time.sleep)

for i in range(10):
    s.enterabs(t0 + 10 + i, 0, f, (t0,))
s.run()
</code></pre>

<p>Result:</p>

<pre><code>Time elapsed since t0: 10.0058200359
Time elapsed since t0: 11.0022959709
Time elapsed since t0: 12.0017120838
Time elapsed since t0: 13.0022599697
Time elapsed since t0: 14.0022521019
Time elapsed since t0: 15.0015859604
Time elapsed since t0: 16.0023040771
Time elapsed since t0: 17.0023028851
Time elapsed since t0: 18.0023078918
Time elapsed since t0: 19.002286911
</code></pre>

<p>Apart from some constant offset of about 2 millisecond (which you could calibrate), the jitter seems to be on the order of 1 or 2 millisecond (as reported by <code>time.time</code> itself). Not sure if that is good enough for your application.</p>

<p>If you need to do some useful work in the meantime, you should look into multi-threading or multi-processing.</p>

<p><strong>Note</strong>: a standard Linux distribution that runs on a RPi is not a hard real-time operating system. Also Python can show non-deterministic timing, e.g. when it starts a garbage collection. So your code might run fine with low jitter <em>most of the time</em>, but you might have occasional 'hickups', where there is a bit of delay.</p>"
"Why dict not being updated in python multiprocessing?: <p>Please check below code.</p>

<p>I initialized a dict and send it to a function f. I checked the address of return_dict. It is not changing inside the process. So I thought the dict should be updated</p>

<p><strong>But it is not updated, so why?</strong></p>

<pre><code>from multiprocessing import Process

return_dict = dict({})
print id(return_dict)


def f(value, return_dict):
    return_dict['value'] = value
    print return_dict


p = Process(target=f, args=(100, return_dict))
p.start()
p.join()
print return_dict
</code></pre>","<p>Your <code>Process()</code> creates another process. It inherits objects as they are from your parent process when the child process is spawned, but modifications to these objects only modify the objects in child process memory and none of these changes are visible to parent.  </p>

<p>You can overcome this by using <code>Manager()</code>:</p>

<pre><code>from multiprocessing import Process, Manager

def f(value, return_dict):
    return_dict['value'] = value
    print return_dict

d = Manager().dict()    
p = Process(target=f, args=(100, d))
p.start()
p.join()
print d
</code></pre>"
"Getting no module named _internals error while using Bloomberg API: <p>I am currently using Python 2.7 and my OS is Windows 7. While attempting to use the Bloomberg API I am getting this error:</p>

<pre><code>Traceback (most recent call last):
   File ""datagrab.py"", line 1, in &lt;module&gt;
     import blpapi, time, json
   File ""C:\Python27\lib\blpapi\__init__.py"", line 5, in &lt;module&gt;
     from .internals import CorrelationId
   File ""C:\Python27\lib\blpapi\internals.py"", line 50, in &lt;module&gt;
     _internals = swig_import_helper()
   File ""C:\Python27\lib\blpapi\internals.py"", line 42, in swig_import_helper
     import _internals
   ImportError: No module named _internals
</code></pre>

<p>I have set my path variable to point to blpapi3_64.dll and also updated my bloomberg terminal. I have also moved the local blpapi API to a different directory but still the problem exists.</p>

<p>I am kind of new to this API in general. So can someone please guide me?</p>

<p>Thank you in advance! </p>","<p>I know this question is a bit stale, but in case people end up here like me. Do you have the C++ version of blpapi? it is a requirement for the python api as mentioned here: <a href=""https://www.bloomberg.com/professional/support/api-library/"" rel=""nofollow noreferrer"">https://www.bloomberg.com/professional/support/api-library/</a></p>

<p>so download the C++ zip installer, extract somewhere, and then add it as an environment variable so that the python api can find it:</p>

<p>Environment variable name: BLPAPI_ROOT
Value: C:\blp\blpapi_cpp_3.8.18.1 (THIS IS WHERE MINE IS INSTALLED, YOUR VALUE HERE MAY BE DIFFERENT)</p>

<p>Hope that helps!</p>"
"Getting no module named _internals error while using Bloomberg API: <p>I am currently using Python 2.7 and my OS is Windows 7. While attempting to use the Bloomberg API I am getting this error:</p>

<pre><code>Traceback (most recent call last):
   File ""datagrab.py"", line 1, in &lt;module&gt;
     import blpapi, time, json
   File ""C:\Python27\lib\blpapi\__init__.py"", line 5, in &lt;module&gt;
     from .internals import CorrelationId
   File ""C:\Python27\lib\blpapi\internals.py"", line 50, in &lt;module&gt;
     _internals = swig_import_helper()
   File ""C:\Python27\lib\blpapi\internals.py"", line 42, in swig_import_helper
     import _internals
   ImportError: No module named _internals
</code></pre>

<p>I have set my path variable to point to blpapi3_64.dll and also updated my bloomberg terminal. I have also moved the local blpapi API to a different directory but still the problem exists.</p>

<p>I am kind of new to this API in general. So can someone please guide me?</p>

<p>Thank you in advance! </p>","<p>From your question is sounds like maybe you have tried this, but just outlining one possible solution from the <code>README</code> in the <code>Python Supported Release</code> release available <a href=""https://www.bloomberg.com/professional/support/api-library/"" rel=""nofollow noreferrer"">here</a>.</p>

<blockquote>
  <p>Note that many Python installations add the current directory to the
  module search path. If the Python interpreter is invoked from the
  installer directory, such a configuration will attempt to use the
  (incomplete) local <code>blpapi</code> directory as a module. If the above
  <code>import</code> line fails with the message <code>Import Error: No module named
  _internals</code>, move to a different directory before invoking <code>python</code>.</p>
</blockquote>"
"Why python configParser.read can only use filename as parameter to read config file: <p>My python package directory structure shown as below:</p>

<pre><code>./my_package
|---./lib
|   |----__init__.py
|   |----tools.py
|
|----__init__.py
|----my_package.py
|----setting.conf
</code></pre>

<p><br>
In the tools.py :</p>

<pre><code>import ConfigParser

config = ConfigParser.RawConfigParser()
config.read('setting.conf')
debug = config.getboolean('default', 'debug')
</code></pre>

<p>I don't know why config.read is work. I can get debug value in section default.</p>","<p>Your test works because the configuration file is in the current directory, because you're running your main module from the directory of the configuration file.</p>

<p>But if you're using another main file located somewhere else, that could fail.</p>

<p>Here's a clean way to make it work in any case: since your tool is one level below the configuration file, the path to the configuration file can be computed as follows from the <code>tools.py</code> module:</p>

<pre><code>conf_file = os.path.join(os.path.dirname(os.path.dirname(__file__)),'setting.conf')
</code></pre>

<p><code>os.path.dirname(__file__)</code> yields the directory where <code>tools.py</code> is located. Perform one more <code>dirname</code> to get the directory where the conf file is located. Now compute absolute name of config file using <code>os.path.join</code></p>"
"Gradient Descent in Python 2: <p>Part of my assignment is to implement the Gradient Descent to find the best approximation of values c_1, c_2 and r_1 for the function
<a href=""https://i.stack.imgur.com/Czueu.gif"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Czueu.gif"" alt=""enter image description here""></a> .</p>

<p>Given is only a list of 30 y-values corresponding to x from 0 to 30. I am implementing this in Enthought Canopy like this:</p>

<p>First I start with random values:</p>

<pre><code>%matplotlib inline
import numpy as np
import matplotlib.pyplot as pyplt
c1 = -0.1
c2 = 0.1
r1 = 0.1
x = np.linspace(0,29,30) #start,stop,numitems
y = c1*np.exp(r1*x) + (c1*x)**3.0 - (c2*x)**2.0
pyplt.plot(x,y)

values_x = np.linspace(0,29,30)
values_y = np.array([0.2, -0.142682939241718, -0.886680607211679, -2.0095087143494, -3.47583798747496, -5.24396052331554, -7.2690008846359, -9.50451068338581, -11.9032604272567, -14.4176327390446, -16.9998176236069, -19.6019094345634, -22.1759550265352, -24.6739776668383, -27.0479889096801, -29.2499944927101, -31.2319972651608, -32.945998641919, -34.3439993255969, -35.3779996651013, -35.9999998336943, -36.161999917415, -35.8159999589895, -34.9139999796348, -33.4079999898869, -31.249999994978, -28.3919999975061, -24.7859999987616, -20.383999999385, -15.1379999996945])
pyplt.plot(values_x,values_y)
</code></pre>

<p>The squared error is quite high:</p>

<pre><code>def Error(y,y0):
    return ( (1.0)*sum((y-y0)**2.0) )
print Error(y,values_y)
</code></pre>

<p>Now, to implement the gradient descent, I derived the partial derivative functions for c_1, c_2 and r_1 and implemented the Gradient Descent:</p>

<pre><code>step_size = 0.0000005
accepted_Error = 50
dc1 = c1
dc2 = c2
dr1 = r1
y0 = values_y
previous_Error = 100000
left = True

for _ in range(1000):
    gc1 = (2.0) * sum( ( y - dc1*np.exp(dr1*x) - (dc1*x)**3 + (dc2*x)**2 ) * ( -1*np.exp(dr1*x) - (3*(dc1**2)*(x**3)) ) )
    gc2 = (2.0) * sum( ( y - dc1*np.exp(dr1*x) - (dc1*x)**3 + (dc2*x)**2 ) * ( 2*dc2*(x**2) ) )
    gr1 = (2.0) * sum( ( y - dc1*np.exp(dr1*x) - (dc1*x)**3 + (dc2*x)**2 ) * ( -1*dc1*x*np.exp(dr1*x) ) )

    dc1 = dc1 - step_size*gc1
    dc2 = dc2 - step_size*gc2
    dr1 = dr1 - step_size*gr1

    y1 = dc1*np.exp(dr1*x) + (dc1*x)**3.0 - (dc2*x)**2.0
    current_Error = Error(y0,y1)

    if (current_Error &gt; accepted_Error):
        print currentError
    else: 
        break
    if (current_Error &gt; previous_Error):
        print currentError
        print ""DIVERGING""
        break
    if (current_Error==previous_Error):
        print ""CAN'T IMPROVE""
        break

    previous_Error = current_Error
</code></pre>

<p>However, the error is not improving at all, and I tried to vary the step size. Is there a mistake in my code?</p>",
"python pyparsing string: A,b,b,b,A,b,b,b*: <p>I have a crazy problem.</p>

<p>I am trying to use pyparsing to parse something like this: (dots are unimportant suppressed text)</p>

<pre><code>...... A
B .......
B .......
...... A
B .......
B .......
</code></pre>

<p>What I need is something like this: (to connect A and B element into one list)</p>

<pre><code> [ [ [A],[B,B] ], [ [A],[B,B] ] , ...]
</code></pre>

<p>This is my code which does not work and only returns the first [A]</p>

<pre><code>table = pyparsing.OneOrMore(pyparsing.Group(A + (pyparsing.OneOrMore(pyparsing.Group(B) | pyparsing.SkipTo(B).suppress()))) | pyparsing.SkipTo(A).suppress())
</code></pre>

<p>I have already solved this pyparsing into a list like this:</p>

<pre><code>[ [A],[B],[B], [A],[B],[B] , ...]
</code></pre>

<p>But this was not acceptable, since the A and B elements were not directly connected in one list.</p>

<p>Worth mentioning is that </p>

<pre><code>table1 = pyparsing.ZeroOrMore(pyparsing.Group(A) | pyparsing.SkipTo(A).suppress())
table2 = pyparsing.ZeroOrMore(pyparsing.Group(B) | pyparsing.SkipTo(B).suppress())
</code></pre>

<p>works and return a list of all A elements and B elements.</p>","<p>I think you have two options:</p>

<ul>
<li>rethink the way you're parsing the text</li>
<li><p>stay happy with what you have and just clean things afterwards:
You have a list like <code>your_list=[A,B,B,A,B,B]</code> ? You can just do </p>

<pre><code>[ [x[i], x[i+1] + x[i+2]] for i in range(len(your_list)//3)]
</code></pre>

<p>the <code>+</code> will concatenate your two <code>[B]</code> lists (represented as <code>x[i+1]</code> and <code>x[i+2]</code>).</p></li>
</ul>"
"python pyparsing string: A,b,b,b,A,b,b,b*: <p>I have a crazy problem.</p>

<p>I am trying to use pyparsing to parse something like this: (dots are unimportant suppressed text)</p>

<pre><code>...... A
B .......
B .......
...... A
B .......
B .......
</code></pre>

<p>What I need is something like this: (to connect A and B element into one list)</p>

<pre><code> [ [ [A],[B,B] ], [ [A],[B,B] ] , ...]
</code></pre>

<p>This is my code which does not work and only returns the first [A]</p>

<pre><code>table = pyparsing.OneOrMore(pyparsing.Group(A + (pyparsing.OneOrMore(pyparsing.Group(B) | pyparsing.SkipTo(B).suppress()))) | pyparsing.SkipTo(A).suppress())
</code></pre>

<p>I have already solved this pyparsing into a list like this:</p>

<pre><code>[ [A],[B],[B], [A],[B],[B] , ...]
</code></pre>

<p>But this was not acceptable, since the A and B elements were not directly connected in one list.</p>

<p>Worth mentioning is that </p>

<pre><code>table1 = pyparsing.ZeroOrMore(pyparsing.Group(A) | pyparsing.SkipTo(A).suppress())
table2 = pyparsing.ZeroOrMore(pyparsing.Group(B) | pyparsing.SkipTo(B).suppress())
</code></pre>

<p>works and return a list of all A elements and B elements.</p>","<p>Yes, you can have OneOrMore's embedded within other OneOrMore's - it would severely limit the parsers you could write if you couldn't.</p>

<p>I think you might be able to adapt your existing solution if you do better grouping.  See how the Groups are defined in this toy example:</p>

<pre><code>test = """"""
...... A 
B ....... 
B ....... 
...... A 
B ....... 
B .......""""""

from pyparsing import Literal, Word, printables, Group, OneOrMore

A = Literal(""A"")
B = Literal(""B"")

notAorB = Word(printables, excludeChars=""AB"")

parser = OneOrMore(Group(A + Group(OneOrMore(B))))
parser.ignore(notAorB)

print parser.parseString(test).asList()
</code></pre>

<p>Prints:</p>

<pre><code>[['A', ['B', 'B']], ['A', ['B', 'B']]]
</code></pre>"
"TypeError: initial_value must be unicode or None, not str,: <p>I am using SOAPpy for soap wsdl services. I am following this <a href=""http://www.diveintopython.net/soap_web_services/introspection.html"" rel=""noreferrer"">toturail</a>. My code is as follow </p>

<pre><code>from SOAPpy import WSDL
wsdlfile = 'http://track.tcs.com.pk/trackingaccount/track.asmx?WSDL'
server = WSDL.Proxy(wsdlfile)
</code></pre>

<p>I am getting this error on the last line of my code</p>

<pre><code>Traceback (most recent call last):
File ""&lt;console&gt;"", line 1, in &lt;module&gt;
File ""/home/adil/Code/mezino/RoyalTag/royalenv/local/lib/python2.7/site-packages/SOAPpy/WSDL.py"", line 85, in __init__
self.wsdl = reader.loadFromString(str(wsdlsource))
File ""/home/adil/Code/mezino/RoyalTag/royalenv/local/lib/python2.7/site-packages/wstools/WSDLTools.py"", line 52, in loadFromString
return self.loadFromStream(StringIO(data))
TypeError: initial_value must be unicode or None, not str
</code></pre>

<p>I tried to convert the string into utf using </p>

<pre><code>wsdlFile = unicode('http://track.tcs.com.pk/trackingaccount/track.asmx?WSDL, ""utf-8"")
</code></pre>

<p>but still having same error. What is missing here ?</p>","<p>I just ran into this problem with some very old 2.7 code that no longer worked due to the TLS update. After updating to the most recent version of Python 2 I ended up getting this issue.</p>

<p>I was only able to fix this by setting up a new virtual environment, then modifying the wstools package in that virtual environment to use BytesIO instead of StringIO.</p>

<p>Replace every required instance of StringIO. For example:</p>

<pre><code># WSDLTools.py
...
from IO import BytesIO
...
return self.loadFromStream(BytesIO(data))
</code></pre>

<p>Not ideal, but it worked. Easier than migrating everything to Python 3...</p>"
"Unable to open D drive files, of File type, in Python: <p>I am unable to open a ""File"" type file in python.
This file exists in D drive.</p>

<pre><code>f = os.path.join('D:\Udacity Datasets', 'maildir/bailey-s/deleted_items/101')
g=open(f) 
Traceback (most recent call last):
File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
IOError: [Errno 2] No such file or directory: 'D:\\Udacity Datasets\\maildir/bailey-s/deleted_items/101'
</code></pre>

<p>However, if the same file is in C drive, it works fine</p>

<pre><code>f = os.path.join('C:\Users\shivanand\Documents\Udacity\Data Analyst  Nanodegree\P5 - Intro to ML\ud120-projects-master', 'maildir/bailey-s/deleted_items/101' )
g = open(f)
</code></pre>

<p>I have also observed that 'txt' files can be read from D drives, 
i.e </p>

<pre><code>f = os.path.join('D:\Udacity Datasets', 'maildir/bailey-s/test.txt')
g = open(f)
</code></pre>

<p>works well, but throws an error for 'File' type files.</p>

<p>Could someone kindly point out the error</p>","<p>f = os.path.join('D:\Udacity Datasets', <strong>'maildir/bailey-s/deleted_items/101'</strong>)</p>

<p>You have wrong slash in highlighted part. It should be <strong>'maildir\bailey-s\deleted_items\101'</strong></p>"
"Simple command line chat with python: <p>I want to implement a simple console chat in python. 
I've already write two scripts, one server, one client and I am possible to write messages from the client to the server script over a udp socket. It's possible to open a server and a client console, so that you can read in the first and write in the second console. The next step is to write a chat, that every user can start and then you can read and write in the same console. </p>

<p>In the following there is my try with the help of threads. But it didn't work and I need a little bit help with the implementation. I would be very thanksful for a few tipps for a python beginner. </p>

<p>Thanks in advance!</p>

<pre><code>import socket, time, datetime, threading

target_ip = raw_input(""Empf-IP: "")
port = 48899

udp_socket = socket.socket( socket.AF_INET,  socket.SOCK_DGRAM )

def SendThread(threading):
    def __init__(self):
        threading.Thread.__init__(self)

    def run(self):
        while True:
            message = raw_input(""&gt; "")
            udp_socket.sendto(message, (target_ip,port))

def ReceiveThread(threading):
    def __init__(self):
        threading.Thread.__init__(self)

    def run(self):
        while True:
            data, addr = udp_socket.recvfrom(1024)
            print data
my_threads = []

send_thread = SendThread()
recv_thread = ReceiveThread()

my_threads.append(send_thread)
my_threads.append(recv_thread)  

for thread in my_threads:
    thread.start()

for thread in my_threads:
    thread.join()
</code></pre>",
"The ""lives"" in my game won't appear? pygame: <p>So, in my memory game, I got that when you click a wrong button, you lose a life. And this works! After losing 3 lives, you lose. But the problem here is that the text for the lives won't appear in my game once it starts up. Could anyone help me out? (If you're interested in seeing the entire code, then you could look at it here <a href=""http://pastebin.com/rkBGC2rD"" rel=""nofollow"">http://pastebin.com/rkBGC2rD</a>)</p>

<pre><code>def main():
    global FPSCLOCK, DISPLAYSURF, BASICFONT, BEEP1, BEEP2, BEEP3, BEEP4

    pygame.init()
    FPSCLOCK = pygame.time.Clock()
    DISPLAYSURF = pygame.display.set_mode((WIDTH, HEIGHT))
    pygame.display.set_caption('Simulate')

    # font 
    BASICFONT = pygame.font.Font(None, 30)

    # load the sound files
    BEEP1 = pygame.mixer.Sound('beep1.wav')
    BEEP2 = pygame.mixer.Sound('beep2.wav')
    BEEP3 = pygame.mixer.Sound('beep3.wav')
    BEEP4 = pygame.mixer.Sound('beep4.wav')
    SOUNDTRACK = pygame.mixer.Sound('soundtrack.wav')
    ERROR = pygame.mixer.Sound('error.wav')

    # initialize some variables for a new game
    pattern = [] # stores the pattern of colors
    currentStep = 0 # the color the player must push next
    lastClickTime = 0 # ""time stamp"" of the player's last button push
    score = 0

    # plays the soundtrack music 
    SOUNDTRACK.play(-1, 0, 1000)

    # start-up screen text
    text = BASICFONT.render('Press enter to play!', 1, WHITE)
    textRect = text.get_rect()
    textRect.centerx = DISPLAYSURF.get_rect().centerx
    textRect.y = 150
    DISPLAYSURF.blit(text, textRect)

    # update the screen
    pygame.display.update()

    # the start up screen command
    waiting = True
    while waiting:      
        for event in pygame.event.get():
            if event.type == pygame.KEYDOWN:
                if event.key == pygame.K_RETURN:
                    waiting = False

    # amount of lives
    lives = 3
    img = BASICFONT.render('I'*lives, 1, WHITE)
    livesRect = img.get_rect()
    livesRect.topleft = (10, 10)
    DISPLAYSURF.blit(img, livesRect)

    # when False, the pattern is playing. when True, waiting for the player to click a colored button:
    waitingForInput = False

    while True: # main game loop
        clickedButton = None # button that was clicked (set to YELLOW, RED, GREEN, or BLUE)
        DISPLAYSURF.fill(bgColor)
        drawButtons()

        scoreSurf = BASICFONT.render('Score: ' + str(score), 1, WHITE)
        scoreRect = scoreSurf.get_rect()
        scoreRect.topleft = (WIDTH - 100, 10)
        DISPLAYSURF.blit(scoreSurf, scoreRect)      

        checkForQuit()
        for event in pygame.event.get(): # event handling loop
            if event.type == MOUSEBUTTONUP:
                mousex, mousey = event.pos
                clickedButton = getButtonClicked(mousex, mousey)

        if not waitingForInput:
            # play the pattern
            pygame.display.update()
            pygame.time.wait(1000)
            pattern.append(random.choice((YELLOW, BLUE, RED, GREEN)))
            for button in pattern:
                flashButtonAnimation(button)
                pygame.time.wait(FLASHDELAY)
            waitingForInput = True
        else:
            # wait for the player to enter buttons
            if clickedButton and clickedButton == pattern[currentStep]:
                # pushed the correct button
                flashButtonAnimation(clickedButton)
                currentStep += 1
                lastClickTime = time.time()

                if currentStep == len(pattern):
                    # pushed the last button in the pattern
                    score += 1
                    waitingForInput = False
                    currentStep = 0 # reset back to first step

            elif (clickedButton and clickedButton != pattern[currentStep]) or (currentStep != 0 and time.time() - TIMEOUT &gt; lastClickTime):
                # pushed the incorrect button, or has timed out
                pattern = []
                currentStep = 0
                waitingForInput = False
                lives = lives - 1
                SOUNDTRACK.stop()
                ERROR.play()
                pygame.time.wait(1000)
                SOUNDTRACK.play(-1, 0, 1000)
                pygame.display.update()
                if lives &lt; 1:               
                    gameOverAnimation()
                    # reset the variables for a new game:
                    pattern = []
                    currentStep = 0
                    waitingForInput = False
                    score = 0
                    pygame.time.wait(1000)

        pygame.display.update()
        FPSCLOCK.tick(FPS) 
</code></pre>","<p>Every time you change <code>lives</code> you have to render again </p>

<pre><code>img = BASICFONT.render('I'*lives, 1, WHITE)
</code></pre>

<p>and display it in every loop </p>

<pre><code>DISPLAYSURF.blit(img, livesRect)
</code></pre>"
